ccode,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,IncomeGroup,TOI,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks,LMF_open,LMF_EQ,LMF_FDI_total_stocks_GDP,LMF_open_gdp,LMF_EQ_gdp,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,ComplexityGroup,LMF_open_pv,FIN_CUR,CAPITAL,period
ALB,2004,16953.076171875,2.85733485221863,27.5545239448547,5.47271152005947,1.69977420111781,1.1306751013086,2.99411661001798,-0.427074560760765,48.7163467407227,43.9015655517578,53.531135559082,51.2845726013184,48.4059219360352,54.1632118225098,46.148136138916,39.3972053527832,52.8990669250488,2.28001916938101,67.047228208342,22.2175743136482,44.8296538946938,3026939,1596261928.9261,1636958541.9545,3220867804.41529,3540943469.27544,Upper middle income,5.59136723980512,2.74048672420692,0.493984104971469,229908.393094651,-0.141151502728462,0.516441917419434,1664,5631,26,0.227477785372522,0.769788106630212,0.00355434039644566,11.65704,0.34264,11.99968,6.27,6.54,6.47,93.3756637573242,92.662738552,58.5,70,61.4,6.54,6.47,92.662738552,mec,41.99436188,75,37.5,"(2000,2005]"
ALB,2005,18230.447265625,2.87155675888062,30.3083777427673,5.92055446541169,1.77843010420804,1.12466301877427,7.86559030902263,-0.601208253432706,49.2747116088867,44.7849159240723,53.7645034790039,53.6275253295899,50.0586395263672,57.1963996887207,44.9219017028809,39.5111961364746,50.3326110839844,2.36658195679796,70.8723282677903,23.0129851376812,47.8593431301091,3011487,1853022970.79312,1991451831.1198,3853670510.65232,4017748084.40546,Upper middle income,5.36472172516414,3.08696005721438,0.527568406787938,259602.921492385,-0.141151502728462,0.516441917419434,1702,6153,28,0.208629566070115,0.754228977690611,0.00343221377788674,12.67301,0.25576,12.92877,6.33,6.33,6.56,94.5784301757813,92.767198626,57.8,70,60.2,6.33,6.56,92.767198626,mec,41.48623657,,,"(2000,2005]"
ALB,2006,19681.896484375,2.87803173065186,33.3680242300034,6.44393029783558,1.86313864865716,1.1165606044,8.47085444491178,-0.810241437426473,51.5613288879395,49.0673866271973,54.0552597045899,60.7128982543945,52.7646484375,68.6611480712891,42.4097442626953,45.3701171875,39.4493789672852,2.37072831904285,74.2670817296107,25.2096048388566,49.0574768907541,2992547,2242665086.02148,2115910236.45229,4364189416.47282,4374619608.72226,Upper middle income,5.2126053543399,3.51447729146931,0.551469987567006,289304.87607771,-1.21001923084259,0.265725812315941,2193,7712,34,0.243639595600489,0.856793689590046,0.00377735807132541,15.64784,0.42459,16.07243,6.74,6.74,7.31,,93.392768596,60.3,70,62.4,6.74,7.31,93.392768596,mec,49.38235855,,,"(2005,2010]"
ALB,2007,21020.666015625,2.884521484375,32.7039450407028,6.95149235401045,1.93895636372186,1.1065496860787,7.58177150647075,-1.00109183213069,54.1694068908691,51.9636268615723,56.3751983642578,64.779426574707,57.3089790344238,72.249885559082,43.5593910217285,46.6182746887207,40.5005111694336,2.93268248162318,83.2021007868277,28.2478724381783,54.9542283486494,2970017,3016116154.41694,2562525040.31311,5867639633.34325,5344603314.14211,Upper middle income,5.25892222698663,4.38553330918012,0.597944857489895,356758.39017205,-1.21001923084259,0.265725812315941,3010,9353,85,0.281361002056459,0.874275565526267,0.00794541035707609,25.22471,0.69857,25.92328,6.78,6.79,7.52,,94.2104076775,61.4,60,73.2,6.79,7.52,94.2104076775,mec,51.79450607,,,"(2005,2010]"
ALB,2008,23369.837890625,2.89102554321289,33.0840170383453,7.81168573339877,2.05562078350564,1.09582542837686,11.6664419783778,-1.07242577018336,57.4265098571777,57.0285606384277,57.8244552612305,67.5607299804688,60.3488883972168,74.772575378418,47.2922821044922,53.7082290649414,40.8763313293457,3.36313757366391,77.4517486294968,25.3024171795277,52.149331449969,2947314,3259293923.566,2543584442.98629,6717539984.69508,5749040281.36437,Upper middle income,5.30246466561336,5.21243221196942,0.62114358246384,405443.426259352,-1.21001923084259,0.265725812315941,4052,11320,101,0.314084179520967,0.877451360359662,0.00782885047670723,22.26863,1.13108,23.39971,6.85,6.85,7.65,,96.386551668,62.4,70,75.8,6.85,7.65,96.386551668,mec,56.64217758,,,"(2005,2010]"
ALB,2009,25039.591796875,2.89754462242126,31.9760769605637,8.45179762488782,2.13437915541696,1.08607908864033,7.87583719113174,-0.974633973653871,60.0513305664063,58.5613975524902,61.5412673950195,67.1364593505859,57.813045501709,76.4598770141602,52.9662055969238,59.3097457885742,46.6226654052734,2.23139683475865,75.0948185576509,25.2407163937091,49.8541021639417,2927519,3040048284.81513,2799727429.46648,6004539467.51935,5825579970.05861,Upper middle income,5.34260865586033,5.77691269005524,0.598666633680536,341761.06744656,-1.21001923084259,0.265725812315941,5027,12576,97,0.41569503018275,1.03994046142396,0.00802116927147937,27.04893,1.38425,28.43318,7.24,7.24,7.67,,95.096091145,63.7,70,75.8,7.24,7.67,95.096091145,hec,69.14440155,,,"(2005,2010]"
ALB,2010,28066.546875,2.90407800674439,26.4096677303314,9.54473991912729,2.25599020894135,1.07858815551808,12.1611053524387,-0.749093312224769,64.6880187988281,60.0112724304199,69.3647689819336,68.8767242431641,60.5632553100586,77.1901779174805,60.499324798584,59.4592895507813,61.5393600463867,3.61538461538463,76.5433552386804,27.9794229573262,48.5639322813542,2913021,3337095377.55781,3337095377.55781,5792202154.39442,5792202154.39442,Upper middle income,5.36690294520719,4.93882367956976,0.583564883943868,341405.032505746,-0.141151502728462,0.516441917419434,4981,13271,99,0.41723906852069,1.11166024459708,0.00829284637292679,27.29066,1.2905,28.58116,7.25,7.25,7.65,,95.128554353,66,70,85.8,7.25,7.65,95.128554353,hec,73.51116943,,,"(2005,2010]"
ALB,2011,29307.56640625,2.91069340705872,27.230030298233,10.0140007198196,2.30398418578908,1.07386153601712,4.79939768477293,-0.472661950095366,63.0349426269531,59.8773918151856,66.1925048828125,70.240364074707,64.3270645141602,76.1536636352539,55.8295288085938,55.4277191162109,56.2313423156738,3.44283593170005,81.2185639373984,29.2415353404806,51.9770285969179,2905195,3769487586.10437,3559816195.28866,6700289905.34714,6150523397.00047,Upper middle income,5.35161821427675,5.08282849594158,0.618984595521248,383111.477857923,-0.141151502728462,0.516441917419434,6266,15691,125,0.485887096774194,1.21673387096774,0.00969292803970223,34.12594,1.33647,35.46241,7.12,7.12,7.52,,97.084740758,64,65,79.8,7.12,7.52,97.084740758,mec,87.63181305,,,"(2010,2015]"
ALB,2012,30376.1015625,2.91734623908997,22.5064799189568,10.4026357874089,2.34205921513357,1.07159695130167,3.80750293444918,-0.226458471545521,61.8532600402832,59.8776245117188,63.8288955688477,68.3690490722656,61.8923606872559,74.8457336425781,55.3374748229981,57.8628921508789,52.8120613098145,2.03642235579081,76.5102010189022,28.9374874447688,47.5727135741334,2900401,3565036151.17124,3570267490.50381,5860855888.9158,5738798342.06303,Upper middle income,5.35391225937328,4.228322793066,0.57376880352576,311205.405685646,-0.141151502728462,0.516441917419434,6161,17012,164,0.499959425464579,1.38050799318348,0.0133084476182748,34.92972,1.57613,36.50585,7.12,7.12,7.62,,97.6799180475,65.1,65,79.8,7.12,7.62,97.6799180475,mec,99.88109589,,,"(2010,2015]"
ALB,2013,29031.740234375,2.92403697967529,23.000131547451,9.94585792514155,2.29715617556771,1.07123354674085,-4.49030395658547,-0.036340456081474,61.4269943237305,61.0324058532715,61.8215713500977,68.2053298950195,63.134033203125,73.2766342163086,54.6486434936524,58.9307823181152,50.3664970397949,1.92544399507649,75.8737327762736,28.9163218930758,46.9574108831978,2895092,3694429570.91362,3626998818.50824,5999409191.1796,5701861907.85904,Upper middle income,5.35288687981329,4.19498062404581,0.568771333001084,323629.013696128,-0.141151502728462,0.516441917419434,7640,19828,174,0.597388380639612,1.55039487059191,0.0136054421768707,30.76556,1.87809,32.64365,7.71,7.7,7.46,,97.5660742885,65.2,65,79.8,7.7,7.46,97.5660742885,lec,115.2823868,,,"(2010,2015]"
