ccode,period,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,TOI,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks,LMF_open,LMF_EQ,LMF_FDI_total_stocks_GDP,LMF_open_gdp,LMF_EQ_gdp,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,LMF_open_pv,FIN_CUR,CAPITAL,first_year,initial_GDP_pc
ALB,"(2000,2005]",2003,16655.344140625,2.84325323104858,24.4203415513039,5.36415778439138,1.67798617188508,1.13328203762216,4.11906323502029,-0.276023485556012,47.3392517089844,44.4254280090332,50.2530776977539,48.4270416259766,48.0973258972168,48.7567497253418,46.2514671325684,40.7535270690918,51.7494071960449,3.20174356852546,67.9912498712795,21.6713971210177,46.3198527502619,3037845,1273316554.14929,1476263652.9647,2701091685.80846,3258054035.92966,5.82122553814038,2.54047456104341,0.496206288917119,190233.359538518,-0.141151502728462,0.516441917419434,1197.4,4612.8,20.6,0.196318077256299,0.780161103824247,0.00346886552782901,9.921944,0.2992,12.464225,6.246,6.435,6.515,93.2171157836914,91.527017404,57.3,70,61,6.435,6.515,91.527017404,42.85294037,75,37.5,2001,5.0084021206555
ALB,"(2005,2010]",2008,23435.7078125,2.89104027748108,31.5083461999893,7.84072918585198,2.04961703204859,1.09672059260279,9.55120209466616,-0.921497265123832,57.5793190002441,55.3264488220215,59.8321899414063,65.8132476806641,57.7597633361816,73.8667327880859,49.3453895568848,52.8931312561035,45.7976493835449,2.90266596489464,77.3118209884533,26.3960067615196,50.9158142269337,2950083.6,2979043765.27547,2671768505.3552,5749222131.28498,5417209065.73635,5.29670076960148,4.76563583644877,0.58353062896607,346934.558492284,-0.996245685219765,0.31586903333664,3852.6,10846.4,83.2,0.334403775176271,0.952024264299405,0.00717312690990298,23.496154,0.985798,24.481952,6.972,6.974,7.56,,94.8428746879,62.76,68,74.6,6.974,7.56,94.8428746879,60.094922636,,,2006,6.44393029783558
ALB,"(2010,2015]",2013,30414.1109375,2.92407517433167,23.1810438632965,10.4087596463952,2.34170440662474,1.07225438171258,3.25010252267548,-0.117145027162198,63.9035179138184,61.5141052246094,66.2929290771485,70.8350128173828,63.1272827148438,78.5427444458008,56.9720222473145,59.9009323120117,54.0431121826172,2.18555232272803,76.1622787387316,28.5151506394895,47.647128099242,2894099,3573191627.08821,3626053605.85897,5974923653.69771,5861929218.2527,5.35868288869087,4.28501577452179,0.568450242399205,332774.059241802,-0.141151502728462,0.516441917419434,6823.4,18190.6,226.2,0.543990961638272,1.45169473878534,0.0181850292535725,34.075114,1.974636,36.04975,7.654,7.652,7.812,,97.5152076036,65.38,68,82.94,7.652,7.812,97.5152076036,102.498517985,,,2011,10.0140007198196
ARG,"(1990,1995]",1993,294280.384375,2.5866765499115,16.0049557685852,8.60020363376713,2.13503651317636,3.52919849542278,13.321383046295,1.33831564421318,42.2480155944824,29.2989967346191,55.1970336914063,28.7465812683105,17.4030792236328,40.0900833129883,55.7494514465332,41.1949165344238,70.3039833068848,,16.5225910300799,7.67858826791495,8.84400276216501,33961855.8,18075588445.6007,28326678500.5508,21105146541.8823,25570956426.1072,8.31475995779249,16.9354290115303,0.189085780530005,120400.271745712,0.462670493125916,0.658075815439224,27627,185625.2,9039.2,0.0970761795133442,0.657370485459258,0.03081953865836,7.487524,3.235736,10.72326,8.42,8.54,7.31,89.7900009155273,88.7966777105,68,70,58.4,8.54,7.31,88.7966777105,70.726346588,95,85,1991,6.44655779486636
ARG,"(1995,2000]",1998,488773.96875,2.64208846092224,19.3377441167831,13.4945777165261,2.60143968671143,3.59004029054125,3.2517835274831,1.14539130058104,51.2010688781738,38.6089424133301,63.7931938171387,29.9034408569336,19.1730926513672,40.6337913513184,72.4986938476563,58.0447929382324,86.9525924682617,,22.4395729925517,10.4437157133064,11.9958572792453,36061053.4,29906598080,45798341245.0887,34412449200,42491909749.2082,7.35269454028692,27.3361877507179,0.220519300886257,120011.769248951,1.56906633377075,0.917594599723816,68286,336411,18006.6,0.198893969828761,0.97994829970384,0.0523457771558234,16.286656,5.661036,21.947692,7.45,7.62,6.95,89.4399993896484,86.302205815,71.9,70,60.64,7.988,7.094,86.302205815,105.303187544,100,100,1996,13.8094700420256
ARG,"(2000,2005]",2003,434882.7,2.73562593460083,15.2999332547188,11.3454665389014,2.42581484148164,3.64556244010006,-0.329232739308223,1.09631378658315,49.3417694091797,52.0398406982422,46.643701171875,29.9816207885742,29.6310546875,30.3321849822998,68.7019203186035,74.4486259460449,62.9552177429199,,37.0987289841578,22.5972088331938,14.501520150964,38086034.4,35479742142.5727,57109363911.7605,24314302871.605,31234494742.8471,6.77048137646098,30.1349320589089,0.241750735859602,124321.582801096,-0.568698593974113,0.416155475378037,77420.6,337525.8,9826.2,0.412654221930637,1.87158969105112,0.0536620438610931,31.958998,13.206144,45.165142,6.834,6.866,6.368,86.8078598022461,89.2344318017,59.24,58,57.96,6.866,6.368,89.2344318017,197.30764466,62.5,43.75,2001,11.8232356285512
ARG,"(2005,2010]",2008,596016.4,2.81350255012512,16.6598334908485,14.7485452133019,2.68945863370566,3.69840089385452,4.71912617619509,1.0346543632448,42.6456909179688,44.6244667053223,40.6669136047363,28.2085178375244,28.86774559021,27.5492904663086,57.0828620910645,60.3811904907227,53.7845359802246,,38.1618928077164,21.249030751879,16.9128620558374,40065114.8,68763575639.7858,75343997157.3167,55114222199.4308,55869084603.5885,6.38092152782165,37.3976784276262,0.269555998649048,186747.262481451,-0.847683548927307,0.350716120004654,103062.4,389817.4,15865.6,0.28447398979505,1.08148766151811,0.0454263484413067,22.459788,8.863962,31.32375,6.542,6.542,5.966,,91.2121117855,53.02,49,67.58,6.542,5.966,91.2121117855,92.784776312,,,2006,13.452629928701
ARG,"(2010,2015]",2013,710832.7125,2.91662364006042,15.2170947194099,16.7144138221962,2.81607986783806,3.75030374526604,0.709926812249604,1.03701643081402,33.0455913543701,35.7287086486816,30.3624748229981,24.8150260925293,24.7156555175781,24.9143966674805,41.2761596679688,46.7417633056641,35.8105541229248,,29.1919292215971,14.8830745271216,14.3088546944755,42199832.4,81329582472.3144,76542236243.099,78369922178.0238,78524517768.4631,6.19176801256674,31.4883531140731,0.251803308684284,206759.261344822,-1.70277779102325,0.150143224000931,126612.6,472689.2,19215,0.217025936081658,0.811283964984445,0.0330902637503093,15.39597,5.910696,21.306666,4.128,4.124,5.256,,91.0080258401,47.02,37,68.48,4.124,5.256,91.0080258401,71.3680534375,,,2011,17.0358146072092
ARM,"(2000,2005]",2003,13523.39375,3.09805908203125,16.3945958018303,4.48773806718061,1.4912549985935,1.10417925832414,9.23302664921965,-0.583952048403051,66.6591430664063,65.1298004150391,68.1884948730469,67.8606307983398,68.6294570922852,67.0917984008789,65.4576690673828,61.6301460266113,69.2851943969727,3.30553933349767,75.364896724958,29.1043395754418,46.2605571495162,3016917.2,922996718.616157,1717582690.40523,1445594464.78779,2995247168.98428,5.39768533963207,2.72480991192586,0.594286463304496,191214.943648869,2.34670782089233,1.1,897.8,3250.2,7.2,0.283887829929809,1.07458990763536,0.00244348021473118,26.590214,0.037778,26.627992,7.19,7.45,6.695,97.800553894043,97.6551895155,68.36,70,79.92,7.45,6.695,97.6545342812,66.543061064,,,2001,3.64342875792454
ARM,"(2005,2010]",2008,21496.860546875,3.10579805374146,18.9265534281731,7.38538574276486,1.99510817327922,1.06917821178339,8.28912190550529,-0.709791123871164,65.7118232727051,61.369401550293,70.0542465209961,64.8939437866211,59.0214874267578,70.7664001464844,66.5297027587891,63.717317199707,69.3420928955078,5.56655981722932,60.2549366680202,18.7792621612353,41.4756745067849,2912790.8,1655916095.10194,1828984442.99346,3753407635.40726,4120838192.1015,4.70619871360936,2.94646185430621,0.535428218944625,283706.889269218,2.34670782089233,1.1,3325,9287.8,11.2,0.36738957436178,1.03231191610112,0.0012331496889642,33.668116,0.780334,34.44845,7.542,7.54,7.418,,97.4038505318,69.64,69,83.62,7.54,7.418,97.4038505318,64.831638338,,,2006,6.24742353391709
ARM,"(2010,2015]",2013,27254.47734375,3.11943769454956,11.5520176291466,9.41444726388417,2.24205766982245,1.06291478115657,2.5090805059203,0.273647422236927,69.2861450195313,69.3179428100586,69.2543441772461,70.020036315918,67.9093597412109,72.1307083129883,68.5522506713867,70.7265243530274,66.3779823303223,4.54213916471444,74.1677519574757,27.5951674030147,46.5725845544609,2899261.4,2988872964.30791,2597726987.27624,5036545784.9572,3827766408.62475,4.40510070864623,3.60113971989732,0.561835458938111,313173.554980974,2.34670782089233,1.1,5271.2,16358.4,20.4,0.489332968205582,1.51466950853566,0.00189829377822069,45.002682,3.289168,48.29185,7.884,7.884,7.864,,97.0113323899,68.78,74,85.44,7.884,7.864,97.0113323899,109.099533075,,,2011,9.13655639151481
AUS,"(1990,1995]",1993,495447.36875,3.44890022277832,26.7786079645157,28.002241678553,3.33135405592663,2.8723591829719,2.14226197157635,1.17957254668863,55.7079322814941,42.5056037902832,68.9102630615234,45.6232727050781,30.9437076568604,60.3028358459473,65.7925987243652,54.0675010681152,77.5176895141602,2.50799226742988,35.031995068172,17.2495519832358,17.7824430849362,17674600,57006429945.4313,102607483754.004,58893108058.6646,64372697016.65,17.8766988383175,113.307352111409,0.288429198306205,239755.313560988,2.34670782089233,1.1,139090,393733,55959.8,0.411631064204646,1.16511818497009,0.164394862525526,26.640598,13.453972,40.09457,7.76,8.1,7.06,92.4199996948242,85.203331122,74.1,70,77,8.1,7.06,87.674963189,115.00274202,87.5,75,1991,26.4208255655498
AUS,"(1995,2000]",1998,623056.7375,3.51279501914978,26.5314853191376,33.3565668567922,3.50635268335038,2.92663635419126,3.28343383462001,1.06543981515702,62.8081336975098,48.3578788757324,77.2583786010742,53.495768737793,34.2606246948242,72.7309127807617,72.1204849243164,62.4551292419434,81.7858413696289,1.92819427047746,39.3282466622511,19.0976269028471,20.230619759404,18723600,77858254873.4083,147725089532.522,82379570064.4035,97987584994.8168,16.7237892156288,121.127942000196,0.307976415279836,260283.213032074,1.57779698371887,0.91964248418808,204184.8,618470.4,119639.4,0.502260717428543,1.5217529934948,0.294898760561714,28.254928,20.55721,48.812138,7.81,8.31,8.56,95.405485534668,93.5363906294,75.72,70,78.36,8.226,7.96,93.5363906294,147.93294832,87.5,75,1996,31.2609858394248
AUS,"(2000,2005]",2003,746956.7,3.50540442466736,28.6466008424759,37.8385492718283,3.63234612437569,2.98176734998588,2.90173503108299,1.19417011408162,66.4399291992188,56.0921249389649,76.7877365112305,57.2012969970703,37.0668121337891,77.3357803344727,75.6785629272461,75.1174377441406,76.2396942138672,3.03127855510804,40.5221091739424,19.5127576356486,21.0093515382938,19896400,97435984572.9358,183227459678.9,106467963470.327,136541715573.9,16.0009438583919,122.294277188378,0.325382426130439,284805.249978844,1.06518971920013,0.799404120445252,387228.2,1161172.2,223048.2,0.703076532591188,2.1045317962047,0.404741476006946,36.396454,30.251998,66.648452,7.596,7.944,8.424,95.9263931274414,96.0767763835,77.8,70,77.56,7.944,8.424,96.0767763835,217.1017578,87.5,75,2001,35.9578509214917
AUS,"(2005,2010]",2008,903480.05,3.45065450668335,27.7317893505096,42.2981519576229,3.74419322206447,3.06045666330348,1.93558149488405,1.77756828981187,67.9220733642578,58.1273780822754,77.7167739868164,58.548087310791,35.4087997436523,81.6873764038086,77.2960647583008,80.8459579467774,73.7461730957031,2.98453095381436,42.5947150821566,20.6148048240772,21.9799102580795,21299630,194753889809.691,210959652108.796,207605911031.241,215354954695.725,15.6398467578319,144.097915905533,0.336091437031531,458628.887112376,1.06518971920013,0.799404120445252,791673,2612709.2,528410.2,0.793612672476237,2.61815905306366,0.532322650584099,38.00337,32.170904,70.174274,7.508,7.512,8.414,,96.3744867445,81.68,76,82.98,7.512,8.414,96.3744867445,259.97132264,,,2006,40.8923594832242
AUS,"(2010,2015]",2013,1069826.15,3.46878399848938,26.7973268032074,46.2294858979417,3.83348772221646,3.14159011895169,-0.0104472145199974,1.46363791427079,66.3646179199219,53.5146286010742,79.2146118164063,56.5480072021484,30.2049266815186,82.8910873413086,76.1812316894531,76.824333190918,75.5381332397461,2.3025616761236,42.0652746990937,20.7795427168128,21.2857319822809,23098659.8,304989690558.317,254716351143.762,312522616701.446,285604517147.557,15.2751602832903,145.699240852909,0.31987835132322,603265.359540276,1.57779698371887,0.91964248418808,1082799.6,3809476,729691.2,0.752135436629534,2.65510231976183,0.508057351559211,39.396576,30.414854,69.81143,7.646,7.646,8.358,,97.766638819,82.32,81,85.92,7.646,8.358,97.766638819,251.1895523,,,2011,46.5057811421777
BEN,"(2000,2005]",2003,13393.6158203125,1.45053956508636,17.4318966269493,1.77581161345567,0.572712466174714,2.0173212045392,3.94648202970122,3.01285239956163,33.3133304595947,35.1924644470215,31.4342010498047,29.396851348877,38.3206237792969,20.4730777740479,37.2298126220703,32.0643013000488,42.3953247070313,2.83982239664814,49.9338716259316,19.454337890364,30.4795337355675,7524982.2,732751340.829639,1096732643.01856,1128851615.30358,1437972401.37908,4.04582970498538,1.02374596120216,0.357667797815252,124727.731580235,-1.21001923084259,0.265725812315941,244,3399,12,0.0641290812594144,0.920597724871453,0.00321440740866847,6.009094,0.423962,6.433056,5.926,6.005,5.67,87.5988372802735,87.32226027,55.84,46,58.8,6.005,5.67,87.32226027,37.26984787,,,2001,1.61513066147564
