year,inflation,Trade_to_GDP,population,iso3c
1960,,,13411,AND
1961,,,14375,AND
1962,,,15370,AND
1963,,,16412,AND
1964,,,17469,AND
1965,,,18549,AND
1966,,,19647,AND
1967,,,20758,AND
1968,,,21890,AND
1969,,,23058,AND
1970,,,24276,AND
1971,,,25559,AND
1972,,,26892,AND
1973,,,28232,AND
1974,,,29520,AND
1975,,,30705,AND
1976,,,31777,AND
1977,,,32771,AND
1978,,,33737,AND
1979,,,34818,AND
1980,,,36067,AND
1981,,,37500,AND
1982,,,39114,AND
1983,,,40867,AND
1984,,,42706,AND
1985,,,44600,AND
1986,,,46517,AND
1987,,,48455,AND
1988,,,50434,AND
1989,,,52448,AND
1990,,,54509,AND
1991,,,56671,AND
1992,,,58888,AND
1993,,,60971,AND
1994,,,62677,AND
1995,,,63850,AND
1996,,,64360,AND
1997,,,64327,AND
1998,,,64142,AND
1999,,,64370,AND
2000,,,65390,AND
2001,,,67341,AND
2002,,,70049,AND
2003,,,73182,AND
2004,,,76244,AND
2005,,,78867,AND
2006,,,80991,AND
2007,,,82683,AND
2008,,,83861,AND
2009,,,84462,AND
2010,,,84449,AND
2011,,,83751,AND
2012,,,82431,AND
2013,,,80788,AND
2014,,,79223,AND
2015,,,78014,AND
2016,,,77281,AND
2017,,,76965,AND
1960,,,92634,ARE
1961,,,101078,ARE
1962,,,112472,ARE
1963,,,125566,ARE
1964,,,138529,ARE
1965,,,150362,ARE
1966,,,160481,ARE
1967,,,170283,ARE
1968,,,183194,ARE
1969,,,203820,ARE
1970,,,235499,ARE
1971,,,278808,ARE
1972,,,332760,ARE
1973,,,397174,ARE
1974,,,471364,ARE
1975,,,554324,ARE
1976,,,646943,ARE
1977,,,748117,ARE
1978,,,852262,ARE
1979,,,952040,ARE
1980,,,1042384,ARE
1981,,,1120900,ARE
1982,,,1189545,ARE
1983,,,1253060,ARE
1984,,,1318478,ARE
1985,,,1391052,ARE
1986,,,1472218,ARE
1987,,,1560718,ARE
1988,,,1655849,ARE
1989,,,1756043,ARE
1990,,,1860174,ARE
1991,,,1970026,ARE
1992,,,2086639,ARE
1993,,,2207405,ARE
1994,,,2328686,ARE
1995,,,2448820,ARE
1996,,,2571020,ARE
1997,,,2700010,ARE
1998,,,2838145,ARE
1999,,,2988162,ARE
2000,,,3154925,ARE
2001,,89.8645799289427,3326032,ARE
2002,,93.0716588147781,3507232,ARE
2003,,102.300169490783,3741932,ARE
2004,,116.622673310185,4087931,ARE
2005,,119.55312400123,4579562,ARE
2006,,119.470702677257,5242032,ARE
2007,,136.798152865771,6044067,ARE
2008,12.25042024,148.513544025723,6894278,ARE
2009,1.559800981,153.461944358373,7666393,ARE
2010,0.878936756,141.309041911441,8270684,ARE
2011,0.876836633,151.798270101202,8672475,ARE
2012,0.66427897,165.143012494148,8900453,ARE
2013,1.09948371,165.541192319236,9006263,ARE
2014,2.34582837,168.050233667743,9070867,ARE
2015,4.068834375,175.221307567909,9154302,ARE
2016,1.617876882,176.747648042171,9269612,ARE
2017,,172.810526922642,9400145,ARE
1960,,11.157026581176,8996351,AFG
1961,,12.5506095641626,9166764,AFG
1962,,14.2276444262674,9345868,AFG
1963,,26.0355114281704,9533954,AFG
1964,,26.9444479475307,9731361,AFG
1965,,32.6710826152849,9938414,AFG
1966,,27.1428573129252,10152331,AFG
1967,,20.9827354616946,10372630,AFG
1968,,24.110033071763,10604346,AFG
1969,,25.0788642331499,10854428,AFG
1970,,21.7281100678648,11126123,AFG
1971,,27.0631374536424,11417825,AFG
1972,,32.8690810352185,11721940,AFG
1973,,27.6923087928995,12027822,AFG
1974,,28.8659801551706,12321541,AFG
1975,,26.9483576711852,12590286,AFG
1976,,28.0869566604915,12840299,AFG
1977,,26.4860798295929,13067538,AFG
1978,,24.7138040330125,13237734,AFG
1979,,,13306695,AFG
1980,,,13248370,AFG
1981,,,13053954,AFG
1982,,,12749645,AFG
1983,,,12389269,AFG
1984,,,12047115,AFG
1985,,,11783050,AFG
1986,,,11601041,AFG
1987,,,11502761,AFG
1988,,,11540888,AFG
1989,,,11777609,AFG
1990,,,12249114,AFG
1991,,,12993657,AFG
1992,,,13981231,AFG
1993,,,15095099,AFG
1994,,,16172719,AFG
1995,,,17099541,AFG
1996,,,17822884,AFG
1997,,,18381605,AFG
1998,,,18863999,AFG
1999,,,19403676,AFG
2000,,,20093756,AFG
2001,,,20966463,AFG
2002,,97.6744227499797,21979923,AFG
2003,,137.901039454029,23064851,AFG
2004,,121.13581870045,24118979,AFG
2005,12.68626872,104.862400564151,25070798,AFG
2006,7.254895561,100.555349411331,25893450,AFG
2007,8.482889268,76.1737610946716,26616792,AFG
2008,30.55494061,73.0655202440326,27294031,AFG
2009,-8.283078395,56.9068174248469,28004331,AFG
2010,0.892536936,54.9673280956043,28803167,AFG
2011,10.20166014,50.3012220744035,29708599,AFG
2012,7.218257761,44.659247762082,30696958,AFG
2013,7.654316567,56.065669936469,31731688,AFG
2014,4.604334009,52.341577191694,32758020,AFG
2015,-1.533846583,55.8037319475389,33736494,AFG
2016,2.169452176,55.9212268518882,34656032,AFG
2017,,,35530081,AFG
1960,,,55339,ATG
1961,,,56144,ATG
1962,,,57144,ATG
1963,,,58294,ATG
1964,,,59524,ATG
1965,,,60781,ATG
1966,,,62059,ATG
1967,,,63360,ATG
1968,,,64655,ATG
1969,,,65910,ATG
1970,,,67098,ATG
1971,,,68188,ATG
1972,,,69176,ATG
1973,,,70066,ATG
1974,,,70878,ATG
1975,,,71609,ATG
1976,,,72285,ATG
1977,,85.6332309315756,72875,ATG
1978,,101.915842514694,73324,ATG
1979,,132.967354224339,73528,ATG
1980,,128.948064017801,73442,ATG
1981,,142.106411585762,73066,ATG
1982,,146.839625585656,72448,ATG
1983,,115.974510211796,71639,ATG
1984,,133.021878338811,70725,ATG
1985,,140.659123073428,69782,ATG
1986,,171.930622794216,68809,ATG
1987,,157.226918531444,67845,ATG
1988,,137.800782461083,67058,ATG
1989,,143.540484081861,66627,ATG
1990,,149.272126887192,66696,ATG
1991,,151.074063796822,67307,ATG
1992,,158.973000516075,68427,ATG
1993,,156.544805710029,69938,ATG
1994,,145.629808203147,71719,ATG
1995,,145.602178284139,73619,ATG
1996,,137.264769638368,75628,ATG
1997,,135.403263117099,77739,ATG
1998,,131.319408132489,79851,ATG
1999,1.121287896,130.795256680996,81831,ATG
2000,0.771779797,116.281789378355,83584,ATG
2001,1.402796636,116.380689775623,85057,ATG
2002,2.407658013,110.764539900541,86266,ATG
2003,1.993530552,116.56601895806,87293,ATG
2004,2.030077579,122.481460178376,88257,ATG
2005,2.098751967,120.133080113112,89253,ATG
2006,1.787785374,118.113791647384,90301,ATG
2007,1.416052594,115.423207450464,91381,ATG
2008,5.333806398,115.283599454991,92478,ATG
2009,-0.550159996,103.581582371424,93581,ATG
2010,3.370025402,104.364082719019,94661,ATG
2011,3.456749672,103.246858561683,95719,ATG
2012,3.376880443,102.798764074336,96777,ATG
2013,1.059497824,106.154465713388,97824,ATG
2014,1.089441574,104.155817102385,98875,ATG
2015,0.968993459,93.2406974385871,99923,ATG
2016,-0.489437796,88.7302849004793,100963,ATG
2017,,,102012,ATG
1960,,,1608800,ALB
1961,,,1659800,ALB
1962,,,1711319,ALB
1963,,,1762621,ALB
1964,,,1814135,ALB
1965,,,1864791,ALB
1966,,,1914573,ALB
1967,,,1965598,ALB
1968,,,2022272,ALB
1969,,,2081695,ALB
1970,,,2135479,ALB
1971,,,2187853,ALB
1972,,,2243126,ALB
1973,,,2296752,ALB
1974,,,2350124,ALB
1975,,,2404831,ALB
1976,,,2458526,ALB
1977,,,2513546,ALB
1978,,,2566266,ALB
1979,,,2617832,ALB
1980,,45.8250749506054,2671997,ALB
1981,,44.497605577662,2726056,ALB
1982,,43.2525386847195,2784278,ALB
1983,,39.00562196255,2843960,ALB
1984,,36.7904298195613,2904429,ALB
1985,,34.685406148026,2964762,ALB
1986,,30.5250142005462,3022635,ALB
1987,,31.0288080231291,3083605,ALB
1988,,35.600305738476,3142336,ALB
1989,,38.6585297289146,3227943,ALB
1990,,38.0657831094828,3286542,ALB
1991,,34.8163862743792,3266790,ALB
1992,226.0054213,100.002686541879,3247039,ALB
1993,85.00475124,77.7150689060593,3227287,ALB
1994,22.56505269,50.3020121386065,3207536,ALB
1995,7.793218538,46.9874219923069,3187784,ALB
1996,12.72547781,43.2202029460839,3168033,ALB
1997,33.18027438,43.9356497213416,3148281,ALB
1998,20.64285887,45.4813408285662,3128530,ALB
1999,0.389437654,48.0297479959828,3108778,ALB
2000,0.050018136,55.9204287230026,3089027,ALB
2001,3.10758827,57.4303612453301,3060173,ALB
2002,7.770525834,63.9342407411882,3051010,ALB
2003,0.484002612,65.4406219482911,3039616,ALB
2004,2.280019169,66.3578254370479,3026939,ALB
2005,2.366581957,70.2953012017195,3011487,ALB
2006,2.370728319,73.4550491659384,2992547,ALB
2007,2.932682482,82.8724226308549,2970017,ALB
2008,3.359242418,77.4517110851705,2947314,ALB
2009,2.280502222,75.0949053413577,2927519,ALB
2010,3.552267388,76.5434715491159,2913021,ALB
2011,3.450347153,81.2185485414313,2905195,ALB
2012,2.03159594,76.5101734744528,2900401,ALB
2013,1.937617549,75.8737824556845,2895092,ALB
2014,1.631777988,75.4078339395339,2889104,ALB
2015,1.910016978,71.8010161004583,2880703,ALB
2016,1.282798834,74.6692622001273,2876101,ALB
2017,,78.075613190872,2873457,ALB
1960,,,1874120,ARM
1961,,,1941491,ARM
1962,,,2009526,ARM
1963,,,2077575,ARM
1964,,,2144998,ARM
1965,,,2211316,ARM
1966,,,2276031,ARM
1967,,,2339124,ARM
1968,,,2401140,ARM
1969,,,2462925,ARM
1970,,,2525065,ARM
1971,,,2587706,ARM
1972,,,2650484,ARM
1973,,,2712781,ARM
1974,,,2773747,ARM
1975,,,2832757,ARM
1976,,,2889579,ARM
1977,,,2944379,ARM
1978,,,2997411,ARM
1979,,,3049105,ARM
1980,,,3099751,ARM
1981,,,3148092,ARM
1982,,,3193686,ARM
1983,,,3238594,ARM
